plugin,kind,path,bytes
orchestra,eval,modules/orchestra/evals/results/2026-07-24T23-17-20-490Z/aggregate-result.json,4102
orchestra,eval,modules/orchestra/evals/results/2026-07-24T23-18-00-750Z/aggregate-result.json,1062
orchestra,eval,modules/orchestra/evals/results/2026-07-24T23-18-52-999Z/aggregate-result.json,1082
orchestra,eval,modules/orchestra/evals/results/2026-07-24T23-19-26-769Z/aggregate-result.json,4236
orchestra,eval,modules/orchestra/evals/skill-advisor/graders/expected-skill.md,72
orchestra,eval,modules/orchestra/evals/skill-advisor/prompt.md,376
orchestra,eval,modules/orchestra/evals/skill-claudex/graders/expected-skill.md,72
orchestra,eval,modules/orchestra/evals/skill-claudex/prompt.md,379
orchestra,eval,modules/orchestra/evals/skill-coordinator/graders/expected-skill.md,76
orchestra,eval,modules/orchestra/evals/skill-coordinator/prompt.md,372
orchestra,eval,modules/orchestra/evals/skill-software-factory/graders/expected-skill.md,81
orchestra,eval,modules/orchestra/evals/skill-software-factory/prompt.md,383
orchestra,eval,modules/orchestra/evals/skill-wave-coordinator/graders/expected-skill.md,109
orchestra,eval,modules/orchestra/evals/skill-wave-coordinator/prompt.md,358
orchestra,manifest,modules/orchestra/opencode/manifest.json,78
orchestra,eval,modules/orchestra/skills/coordinator/evals/evals.json,8044
orchestra,eval,modules/orchestra/skills/deploy-agent-team/evals/evals.json,4101
orchestra,eval,modules/orchestra/skills/orchestrator/evals/evals.json,3492
plugin-kit,manifest,modules/plugin-kit/.claude-plugin/plugin.json,364
plugin-kit,manifest,modules/plugin-kit/.codex-plugin/plugin.json,940
plugin-kit,manifest,modules/plugin-kit/opencode/manifest.json,79
research,manifest,modules/research/.claude-plugin/plugin.json,329
research,manifest,modules/research/.codex-plugin/plugin.json,848
research,eval,modules/research/evals/skill-x-research/graders/expected-skill.md,74
research,eval,modules/research/evals/skill-x-research/prompt.md,349
research,manifest,modules/research/opencode/manifest.json,77
review,manifest,modules/review/.claude-plugin/plugin.json,327
review,manifest,modules/review/.codex-plugin/plugin.json,855
