plugin,kind,name,path,source,description_bytes,body_words,body_bytes,tools_bytes,claude_implicit,codex_implicit
mcp-dev,skill,json-render-mcp,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-mcp/SKILL.md,third-party,200,480,3924,0,True,True
mcp-dev,skill,json-render-react,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-react/SKILL.md,third-party,209,1161,8693,0,True,True
mcp-dev,skill,json-render-react-email,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-react-email/SKILL.md,third-party,382,773,5730,0,True,True
mcp-dev,skill,json-render-react-native,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-react-native/SKILL.md,third-party,248,832,6103,0,True,True
mcp-dev,skill,json-render-remotion,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-remotion/SKILL.md,third-party,229,335,2796,0,True,True
mcp-dev,skill,json-render-shadcn,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/json-render-shadcn/SKILL.md,third-party,195,834,6243,0,True,True
mcp-dev,skill,mcp-apps,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/skills/mcp-apps/SKILL.md,authored,492,944,7468,0,True,True
mcp-dev,agent,mcp,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/mcp-dev/agents/mcp.md,authored,433,14727,113537,89,,
orchestra,skill,advisor,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/advisor/SKILL.md,authored,410,443,3089,0,True,True
orchestra,skill,claudex,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/claudex/SKILL.md,authored,354,678,4509,0,True,True
orchestra,skill,coordinator,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/coordinator/SKILL.md,authored,268,954,6524,0,True,True
orchestra,skill,deploy-agent-team,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/deploy-agent-team/SKILL.md,authored,351,1347,9843,0,False,True
orchestra,skill,orchestrator,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/orchestrator/SKILL.md,authored,290,662,4809,0,True,True
orchestra,skill,software-factory,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/software-factory/SKILL.md,authored,427,3504,23954,0,True,True
orchestra,skill,visual-coordinator,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/visual-coordinator/SKILL.md,authored,655,1527,10762,0,True,True
orchestra,skill,wave-coordinator,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/skills/wave-coordinator/SKILL.md,authored,260,1535,10011,0,True,True
orchestra,agent,agent-builder,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/orchestra/agents/agent-builder.md,authored,485,10153,80123,95,,
plugin-kit,skill,agent-auditor,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/agent-auditor/SKILL.md,authored,401,1445,10042,0,True,True
plugin-kit,skill,agent-decommissioning,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/agent-decommissioning/SKILL.md,authored,432,931,6562,0,True,True
plugin-kit,skill,agent-onboarding,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/agent-onboarding/SKILL.md,authored,403,1847,12416,0,True,True
plugin-kit,skill,benchmark-skills,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/benchmark-skills/SKILL.md,authored,207,1805,11924,0,True,True
plugin-kit,skill,npm-publish,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/npm-publish/SKILL.md,authored,481,729,5089,0,True,True
plugin-kit,skill,plugin-module-split,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/plugin-module-split/SKILL.md,authored,490,973,6524,0,True,True
plugin-kit,skill,plugin-settings,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/plugin-settings/SKILL.md,authored,405,1379,10471,0,True,True
plugin-kit,skill,publish-request,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/publish-request/SKILL.md,authored,400,107,694,0,False,True
plugin-kit,skill,skill-publish,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/skill-publish/SKILL.md,authored,379,870,6409,0,False,True
plugin-kit,skill,statusline-setup,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/skills/statusline-setup/SKILL.md,authored,335,532,4272,0,False,True
plugin-kit,agent,prompt-engineer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/agents/prompt-engineer.md,authored,392,8713,64991,42,,
plugin-kit,agent,trainer,/Users/satchmo/code/worktrees/prompts-factory-worker/modules/plugin-kit/agents/trainer.md,authored,389,1622,10463,95,,
